Mag/IP,True/Mir,BP,M/S/A,LVR + Src Pin,Cav. Map. Load,LV Schem. Load
ip,Mirror,alpha,M,55_J12_4,PT_a_alpha_S1M_P1W,PT_a_alpha_S1M_P1E
ip,Mirror,alpha,M,55_J12_8,PT_a_alpha_S1M_P1W,PT_a_alpha_S1M_P1E
ip,Mirror,alpha,S,44_J13_2,PT_a_alpha_X0M_P1E,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,S,44_J13_6,PT_a_alpha_X0M_P1E,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,M,44_J13_4,PT_a_alpha_X0M_P1W,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,M,44_J13_8,PT_a_alpha_X0M_P1W,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,S,44_J12_2,PT_a_alpha_X0S_P1E,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,S,44_J12_6,PT_a_alpha_X0S_P1E,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,M,44_J12_4,PT_a_alpha_X0S_P1W,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,M,44_J12_8,PT_a_alpha_X0S_P1W,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,S,43_J12_4,PT_a_alpha_X0S_P2W,PT_a_alpha_X0S_P2E
ip,Mirror,alpha,S,43_J12_8,PT_a_alpha_X0S_P2W,PT_a_alpha_X0S_P2E
ip,Mirror,alpha,M,45_J12_4,PT_a_alpha_X1M_P1W,PT_a_alpha_X1M_P1E
ip,Mirror,alpha,M,45_J12_8,PT_a_alpha_X1M_P1W,PT_a_alpha_X1M_P1E
ip,Mirror,alpha,M,43_J13_4,PT_a_alpha_X1S_P1W,PT_a_alpha_X1S_P1E
ip,Mirror,alpha,M,43_J13_8,PT_a_alpha_X1S_P1W,PT_a_alpha_X1S_P1E
