True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,PPP Pos. (Correct),PPP Pins (Correct),LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Label (After Moving Pos.),Replace w/ PPP Label,Cav. Map. LVR Label (After Moving Pos.),Replace w/ LVR Label
Mirror,mag,alpha,JP5,JPU0,S1M,P2E,A,P2,"5,13",18,3,7.6,|8.4|,P2 - 5/13 | PT_b_alpha_S1S_P2E,P2 - 5/13 | PT_b_alpha_S1M_P2E,15 - J12 - 2/1 2a | PT_b_alpha_S1S_P2E,18 - J12 - 4/3 1b | PT_b_alpha_S1M_P2E
Mirror,mag,alpha,JP5,JPU1,S1M,P3,A,P2,"6,14",15,2,7.2,7.8,P2 - 6/14 | PT_b_alpha_S1S_P3,P2 - 6/14 | PT_b_alpha_S1M_P3,13 - J12 - 4/3 2b | PT_b_alpha_S1S_P3,15 - J12 - 6/5 2a | PT_b_alpha_S1M_P3
Mirror,mag,alpha,JP0,JPU0,S0S,P2W,S,P2,"7,15",21,3 Y 1,7.6,|8.4|,P2 - 7/15 | PT_b_alpha_S0S_P2W,P2 - 7/15 | PT_b_alpha_S0S_P2W,21 - J12 - 4/3 1b | PT_b_alpha_S0S_P2W   Y   21 - J12 - 8/7 1b | PT_b_alpha_S0S_P2W,21 - J12 - 4/3 1b | PT_b_alpha_S0S_P2W   Y   21 - J12 - 8/7 1b | PT_b_alpha_S0S_P2W
Mirror,mag,alpha,JP5,JPU1,S1M,P1E,S,P2,"8,16",23,4 Y 2,7.6,|8.4|,P2 - 8/16 | PT_b_alpha_S1S_P1E,P2 - 8/16 | PT_b_alpha_S1M_P1E,21 - J13 - 2/1 1b | PT_b_alpha_S1S_P1E   Y   21 - J13 - 6/5 1b | PT_b_alpha_S1S_P1E,23 - J12 - 2/1 1b | PT_b_alpha_S1M_P1E   Y   23 - J12 - 6/5 1b | PT_b_alpha_S1M_P1E
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP8,JPU2,S2S,P1W,A,P3,"1,9",18,1,7.6,|8.4|,P4 - 1/9 | PT_b_alpha_X2M_P1W,P3 - 1/9 | PT_b_alpha_S2S_P1W,11 - J13 - 8/7 2a | PT_b_alpha_X2M_P1W,18 - J12 - 8/7 1b | PT_b_alpha_S2S_P1W
Mirror,mag,alpha,JP8,JPU2,S2S,P2E,A,P3,"2,10",15,7,7.2,7.8,P4 - 2/10 | PT_b_alpha_X2M_P2E,P3 - 2/10 | PT_b_alpha_S2S_P2E,6 - J12 - 6/5 2a | PT_b_alpha_X2M_P2E,15 - J13 - 4/3 2a | PT_b_alpha_S2S_P2E
Mirror,mag,alpha,JP8,JPU2,S2S,P3,A,P3,"3,11",13,4,|6.8|,7.2,P4 - 3/11 | PT_b_alpha_X2M_P3,P3 - 3/11 | PT_b_alpha_S2S_P3,3 - J13 - 8/7 2a | PT_b_alpha_X2M_P3,13 - J12 - 2/1 2b | PT_b_alpha_S2S_P3
Mirror,mag,alpha,JP9,JPU2,S2M,P1W,A,P3,"4,12",23,5,7.6,|8.4|,P4 - 4/12 | PT_b_alpha_X2S_P1W,P3 - 4/12 | PT_b_alpha_S2M_P1W,6 - J12 - 8/7 2a | PT_b_alpha_X2S_P1W,23 - J13 - 8/7 1b | PT_b_alpha_S2M_P1W
Mirror,mag,alpha,JP9,JPU2,S2M,P2E,A,P3,"5,13",18,2,7.6,|8.4|,P4 - 5/13 | PT_b_alpha_X2S_P2E,P3 - 5/13 | PT_b_alpha_S2M_P2E,3 - J13 - 4/3 2a | PT_b_alpha_X2S_P2E,18 - J12 - 6/5 1b | PT_b_alpha_S2M_P2E
