True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,Cav. Map. PPP Pos.,Cav. Map. PPP Pins,Surf. Map. PPP Pos.,Surf. Map. PPP Pins,LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Pop.,Surf. Map. PPP Pop.
Mirror,mag,beta,JP5,JPU1,S1M,P1W,A,P8,"1,9",P8,"4,12",24,1.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,beta,JP5,JPU1,S1M,P2E,A,P8,"2,10",P8,"5,13",19,3.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,beta,JP5,JPU1,S1M,P3,A,P8,"3,11",P8,"6,14",16,2.0,7.2,7.800000000000001,6,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP8,JPU2,S2S,P1W,A,P7,"4,12",P9,"1,9",19,1.0,7.6000000000000005,|8.4|,5,6
Mirror,mag,beta,JP8,JPU2,S2S,P2E,A,P7,"5,13",P9,"2,10",16,7.0,7.2,7.800000000000001,5,6
Mirror,mag,beta,JP8,JPU2,S2S,P3,A,P7,"6,14",P9,"3,11",14,4.0,|6.8|,7.2,5,6
Mirror,mag,beta,JP9,JPU2,S2M,P1W,A,P7,"1,9",P9,"4,12",24,2.0,7.6000000000000005,|8.4|,5,6
Mirror,mag,beta,JP9,JPU2,S2M,P2E,A,P7,"2,10",P9,"5,13",19,2.0,7.6000000000000005,|8.4|,5,6
Mirror,mag,beta,JP9,JPU2,S2M,P3,A,P28,"4,12",P9,"6,14",16,5.0,7.6,7.800000000000001,4,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP0,JPU0,S0S,P1W,A,P15,"4,12",P13,"1,9",20,8.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,gamma,JP0,JPU0,S0S,P2E,A,P15,"5,13",P13,"2,10",20,5.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,gamma,JP0,JPU0,S0S,P3,A,P15,"6,14",P13,"3,11",17,3.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP1,JPU0,S0M,P1W,A,P15,"1,9",P13,"4,12",24,8.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,gamma,JP1,JPU0,S0M,P2E,A,P15,"2,10",P13,"5,13",20,4.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,gamma,JP1,JPU0,S0M,P3,A,P15,"3,11",P13,"6,14",17,1.0,7.2,7.800000000000001,6,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP4,JPU1,S1S,P1W,A,P14,"4,12",P14,"1,9",20,6.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,gamma,JP4,JPU1,S1S,P2E,A,P14,"5,13",P14,"2,10",17,4.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP4,JPU1,S1S,P3,A,P14,"6,14",P14,"3,11",14,7.0,|6.8|,7.2,6,6
Mirror,mag,gamma,JP5,JPU1,S1M,P1W,A,P14,"1,9",P14,"4,12",24,5.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,gamma,JP5,JPU1,S1M,P2E,A,P14,"2,10",P14,"5,13",20,3.0,7.6000000000000005,|8.4|,6,6
Mirror,mag,gamma,JP5,JPU1,S1M,P3,A,P14,"3,11",P14,"6,14",17,2.0,7.2,7.800000000000001,6,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP8,JPU2,S2S,P1W,A,P13,"4,12",P15,"1,9",20,1.0,7.6000000000000005,|8.4|,5,6
Mirror,mag,gamma,JP8,JPU2,S2S,P2E,A,P13,"5,13",P15,"2,10",17,7.0,7.2,7.800000000000001,5,6
Mirror,mag,gamma,JP8,JPU2,S2S,P3,A,P13,"6,14",P15,"3,11",14,8.0,|6.8|,7.2,5,6
Mirror,mag,gamma,JP9,JPU2,S2M,P1W,A,P13,"1,9",P15,"4,12",24,6.0,7.6000000000000005,|8.4|,5,6
Mirror,mag,gamma,JP9,JPU2,S2M,P2E,A,P13,"2,10",P15,"5,13",20,2.0,7.6000000000000005,|8.4|,5,6
Mirror,mag,gamma,JP9,JPU2,S2M,P3,A,P34,"4,12",P15,"6,14",17,5.0,7.6,7.800000000000001,4,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP1,JPL0,S0M,P4,A,P22,"1,9",P19,"1,9",13,1.0,|7.6|,7.6000000000000005,5,4
Mirror,mag,alpha,JP5,JPL1,S1M,P4,A,P22,"2,10",P19,"2,10",13,2.0,|7.6|,7.6000000000000005,5,4
Mirror,mag,alpha,JP9,JPL2,S2M,P4,A,P22,"3,11",P19,"3,11",13,5.0,|7.6|,7.6000000000000005,5,4
Mirror,mag,alpha,JP0,JPL0,S0S,P4,A,P22,"5,13",P19,"5,13",13,7.0,|7.6|,7.6000000000000005,5,4
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP1,JPL0,S0M,P4,A,P28,"1,9",P25,"1,9",14,1.0,|7.6|,7.6000000000000005,4,3
Mirror,mag,beta,JP5,JPL1,S1M,P4,A,P28,"2,10",P25,"2,10",14,2.0,|7.6|,7.6000000000000005,4,3
Mirror,mag,beta,JP9,JPL2,S2M,P4,A,P28,"3,11",P25,"3,11",13,6.0,|7.6|,7.6000000000000005,4,3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP1,JPL0,S0M,P4,A,P34,"1,9",P31,"1,9",14,5.0,|7.6|,7.6000000000000005,4,3
Mirror,mag,gamma,JP5,JPL1,S1M,P4,A,P34,"2,10",P31,"2,10",14,6.0,|7.6|,7.6000000000000005,4,3
Mirror,mag,gamma,JP9,JPL2,S2M,P4,A,P34,"3,11",P31,"3,11",13,8.0,|7.6|,7.6000000000000005,4,3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP3,JPU0,X0S,P1W,M,P6,"4,12",P4,"1,9",10,3.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP3,JPU0,X0S,P1W,M,P6,"4,12",P4,"1,9",10,1.0,splice,splice,8,8
Mirror,mag,alpha,JP3,JPU0,X0S,P2E,M,P6,"5,13",P4,"2,10",9,4.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP3,JPU0,X0S,P2E,M,P6,"5,13",P4,"2,10",9,2.0,splice,splice,8,8
Mirror,mag,alpha,JP3,JPU1,X0S,P3,A,P6,"6,14",P4,"3,11",3,3.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP2,JPU0,X0M,P1W,M,P6,"1,9",P4,"4,12",10,7.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP2,JPU0,X0M,P1W,M,P6,"1,9",P4,"4,12",10,5.0,splice,splice,8,8
Mirror,mag,alpha,JP2,JPU0,X0M,P2E,A,P6,"2,10",P4,"5,13",6,4.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP2,JPU0,X0M,P3,A,P6,"3,11",P4,"6,14",3,1.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP3,JPU1,X0S,P1E,S,P6,"8,16",P4,"7,15",10,4.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP3,JPU1,X0S,P1E,S,P6,"8,16",P4,"7,15",10,2.0,splice,splice,8,8
Mirror,mag,alpha,JP2,JPU0,X0M,P1E,S,P6,"7,15",P4,"8,16",10,8.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP2,JPU0,X0M,P1E,S,P6,"7,15",P4,"8,16",10,6.0,splice,splice,8,8
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP7,JPU1,X1S,P1W,M,P5,"4,12",P5,"1,9",9,7.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP7,JPU1,X1S,P1W,M,P5,"4,12",P5,"1,9",9,5.0,splice,splice,8,8
Mirror,mag,alpha,JP7,JPU1,X1S,P2E,A,P5,"5,13",P5,"2,10",3,4.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP7,JPU1,X1S,P3,A,P5,"6,14",P5,"3,11",1,3.0,|6.8|,7.2,8,8
Mirror,mag,alpha,JP6,JPU1,X1M,P1W,M,P5,"1,9",P5,"4,12",11,3.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP6,JPU1,X1M,P1W,M,P5,"1,9",P5,"4,12",11,1.0,splice,splice,8,8
Mirror,mag,alpha,JP6,JPU1,X1M,P2E,A,P5,"2,10",P5,"5,13",6,3.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP6,JPU1,X1M,P3,A,P5,"3,11",P5,"6,14",3,2.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP3,JPU1,X0S,P2W,S,P5,"7,15",P5,"7,15",9,3.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP3,JPU1,X0S,P2W,S,P5,"7,15",P5,"7,15",9,1.0,splice,splice,8,8
Mirror,mag,alpha,JP6,JPU1,X1M,P1E,S,P4,"7,15",P5,"8,16",11,4.0,7.2,7.800000000000001,7,8
Mirror,mag,alpha,JP6,JPU1,X1M,P1E,S,P4,"7,15",P5,"8,16",11,2.0,splice,splice,7,8
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP11,JPU2,X2S,P1W,A,P4,"4,12",P6,"1,9",6,1.0,7.2,7.800000000000001,7,6
Mirror,mag,alpha,JP11,JPU2,X2S,P2E,A,P4,"5,13",P6,"2,10",3,7.0,7.2,7.800000000000001,7,6
