Sensed Flex,Sensed 4ASIC-group/DCB power,PPP Label,PPP Twisted Pair,Sense Line,Splitter Input,Splitter Output,LVR Con.,LVR Number,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Result,Comments
S0S,P2E,A1, 1-2,beta_12_5U,S2-2_3,Type 2 - OUT b,J10,52,1,A,,,,
S1S,P1W,A1, 4-5,beta_12_5U,S2-2_3,Type 2 - OUT b,J10,52,2,A,,,,
S0S,P1W,A1, 7-8,beta_12_5U,S2-2_3,Type 2 - OUT b,J10,52,4,A,,,,
S2M,P4,A2, 1-2,beta_12_3U,S3-2_2,Type 3 - OUT a,J16,47,6,A,,,,
S2M,P3,A2, 4-5,beta_12_3U,S3-2_2,Type 3 - OUT b,J16,49,6,A,,,,
S2S,P2E,A2, 7-8,beta_12_3U,S3-2_2,Type 3 - OUT b,J16,49,8,A,,,,
S0M,P4,A3, 1-2,beta_12_1U,-,direct,J10,48,1,A,,,,
S1M,P4,A3, 4-5,beta_12_1U,-,direct,J10,48,2,A,,,,
S1S,P3,A3, 3-6,beta_12_1U,-,direct,J10,48,3,A,,,,
S2S,P3,A3, 7-8,beta_12_1U,-,direct,J10,48,4,A,,,,
X1M,P1W,A6, 1-2,beta_12_8X,-,direct,J10,46,1,A,,,,
X2M,P1W,A6, 4-5,beta_12_8X,-,direct,J10,46,2,A,,,,
X0M,P1W,A6, 7-8,beta_12_8X,-,direct,J10,46,4,A,,,,
S1M,P1W,A7, 1-2,gamma_12_8U,-,direct,J16,56,5,A,,,,
S0M,P1W,A7, 7-8,gamma_12_8U,-,direct,J16,56,8,A,,,,
S0S,P2E,A8, 1-2,gamma_12_5U,S2-2_1,Type 2 - OUT a,J16,52,5,A,,,,
S1S,P1W,A8, 4-5,gamma_12_5U,S2-2_1,Type 2 - OUT a,J16,52,6,A,,,,
S0S,P1W,A8, 7-8,gamma_12_5U,S2-2_1,Type 2 - OUT a,J16,52,8,A,,,,
S1M,P2E,A9, 3-6,gamma_12_4U,S2-2_2,Type 2 - OUT a,J16,52,7,A,,,,
S0M,P2E,A9, 7-8,gamma_12_4U,S2-2_2,Type 2 - OUT b,J10,52,3,A,,,,
S0M,P3,A11, 1-2,gamma_12_2U,-,direct,J16,50,5,A,,,,
S1M,P3,A11, 4-5,gamma_12_2U,-,direct,J16,50,6,A,,,,
S0S,P3,A11, 3-6,gamma_12_2U,-,direct,J16,50,7,A,,,,
S1S,P2E,A11, 7-8,gamma_12_2U,-,direct,J16,50,8,A,,,,
S0M,P4,A12, 1-2,gamma_12_1U,-,direct,J16,48,5,A,,,,
S1M,P4,A12, 4-5,gamma_12_1U,-,direct,J16,48,6,A,,,,
S1S,P3,A12, 3-6,gamma_12_1U,-,direct,J16,48,7,A,,,,
X1M,P1W,A18, 1-2,gamma_12_8X,-,direct,J16,46,5,A,,,,
X0M,P1W,A18, 7-8,gamma_12_8X,-,direct,J16,46,8,A,,,,
X0S,P2E,A19, 1-2,gamma_12_5X,S2-1_1,Type 2 - OUT a,J16,42,5,A,,,,
X1S,P1W,A19, 4-5,gamma_12_5X,S2-1_1,Type 2 - OUT a,J16,42,6,A,,,,
X0S,P1W,A19, 7-8,gamma_12_5X,S2-1_1,Type 2 - OUT a,J16,42,8,A,,,,
X1M,P2E,A20, 3-6,gamma_12_4X,S2-1_2,Type 2 - OUT a,J16,42,7,A,,,,
X0M,P2E,A20, 7-8,gamma_12_4X,S2-1_2,Type 2 - OUT b,J10,42,3,A,,,,
X0M,P3,A22, 1-2,gamma_12_2X,-,direct,J16,40,5,A,,,,
X1M,P3,A22, 4-5,gamma_12_2X,-,direct,J16,40,6,A,,,,
X0S,P3,A22, 3-6,gamma_12_2X,-,direct,J16,40,7,A,,,,
X1S,P2E,A22, 7-8,gamma_12_2X,-,direct,J16,40,8,A,,,,
X0M,P4,A23, 1-2,gamma_12_1X,-,direct,J16,38,5,A,,,,
X1M,P4,A23, 4-5,gamma_12_1X,-,direct,J16,38,6,A,,,,
X1S,P3,A23, 3-6,gamma_12_1X,-,direct,J16,38,7,A,,,,
S1M,P1W,B1, 1-2,beta_12_8U,-,direct,J10,56,1,A,,,,
S2M,P1W,B1, 4-5,beta_12_8U,-,direct,J10,56,2,A,,,,
S0M,P1W,B1, 7-8,beta_12_8U,-,direct,J10,56,4,A,,,,
S2S,P1W,B2, 1-2,beta_12_4U,-,direct,J16,51,5,A,,,,
S2M,P2E,B2, 4-5,beta_12_4U,-,direct,J16,51,6,A,,,,
S1M,P2E,B2, 3-6,beta_12_4U,-,direct,J16,51,7,A,,,,
S0M,P2E,B2, 7-8,beta_12_4U,-,direct,J16,51,8,A,,,,
S0M,P3,B3, 1-2,beta_12_2U,-,direct,J10,50,1,A,,,,
S1M,P3,B3, 4-5,beta_12_2U,-,direct,J10,50,2,A,,,,
S0S,P3,B3, 3-6,beta_12_2U,-,direct,J10,50,3,A,,,,
S1S,P2E,B3, 7-8,beta_12_2U,-,direct,J10,50,4,A,,,,
X0S,P2E,B7, 1-2,beta_12_5X,S2-1_3,Type 2 - OUT b,J10,42,1,A,,,,
X1S,P1W,B7, 4-5,beta_12_5X,S2-1_3,Type 2 - OUT b,J10,42,2,A,,,,
X0S,P1W,B7, 7-8,beta_12_5X,S2-1_3,Type 2 - OUT b,J10,42,4,A,,,,
X2S,P1W,B8, 1-2,beta_12_4X,-,direct,J16,41,5,A,,,,
X2M,P2E,B8, 4-5,beta_12_4X,-,direct,J16,41,6,A,,,,
X1M,P2E,B8, 3-6,beta_12_4X,-,direct,J16,41,7,A,,,,
X0M,P2E,B8, 7-8,beta_12_4X,-,direct,J16,41,8,A,,,,
X2M,P4,B9, 1-2,beta_12_3X,S3-1_2,Type 3 - OUT a,J16,37,6,A,,,,
X2M,P3,B9, 4-5,beta_12_3X,S3-1_2,Type 3 - OUT b,J16,39,6,A,,,,
X2S,P2E,B9, 7-8,beta_12_3X,S3-1_2,Type 3 - OUT b,J16,39,8,A,,,,
X0M,P3,B10, 1-2,beta_12_2X,-,direct,J10,40,1,A,,,,
X1M,P3,B10, 4-5,beta_12_2X,-,direct,J10,40,2,A,,,,
X0S,P3,B10, 3-6,beta_12_2X,-,direct,J10,40,3,A,,,,
X1S,P2E,B10, 7-8,beta_12_2X,-,direct,J10,40,4,A,,,,
X0M,P4,B11, 1-2,beta_12_1X,-,direct,J10,38,1,A,,,,
X1M,P4,B11, 4-5,beta_12_1X,-,direct,J10,38,2,A,,,,
X1S,P3,B11, 3-6,beta_12_1X,-,direct,J10,38,3,A,,,,
X2S,P3,B11, 7-8,beta_12_1X,-,direct,J10,38,4,A,,,,
S0M,P3,C9, 1-2,alpha_12_2U,-,direct,J10,49,1,A,,,,
S1M,P3,C9, 4-5,alpha_12_2U,-,direct,J10,49,2,A,,,,
S0S,P3,C9, 3-6,alpha_12_2U,-,direct,J10,49,3,A,,,,
S1S,P2E,C9, 7-8,alpha_12_2U,-,direct,J10,49,4,A,,,,
X1M,P1W,C10, 1-2,alpha_12_8X,S4-1,Type 4 - OUT a,J10,45,1,M,,,,
X2M,P1W,C10, 4-5,alpha_12_8X,S4-1,Type 4 - OUT b,J16,45,5,A,,,,
X1M,P1W,C10, 3-6,alpha_12_8X,S4-1,Type 4 - OUT a,J10,45,3,M,,,,
X0M,P4,C11, 1-2,alpha_12_1X,-,direct,J10,37,1,A,,,,
X1M,P4,C11, 4-5,alpha_12_1X,-,direct,J10,37,2,A,,,,
X1S,P3,C11, 3-6,alpha_12_1X,-,direct,J10,37,3,A,,,,
X2S,P3,C11, 7-8,alpha_12_1X,-,direct,J10,37,4,A,,,,
S2M,P4,D9, 1-2,alpha_12_3U,S3-2_1,Type 3 - OUT a,J16,47,5,A,,,,
S2M,P3,D9, 4-5,alpha_12_3U,S3-2_1,Type 3 - OUT b,J16,49,5,A,,,,
S0S,P4,D9, 3-6,alpha_12_3U,S3-2_1,Type 3 - OUT a,J16,47,7,A,,,,
S2S,P2E,D9, 7-8,alpha_12_3U,S3-2_1,Type 3 - OUT b,J16,49,7,A,,,,
X0M,P3,D11, 1-2,alpha_12_2X,-,direct,J10,39,1,A,,,,
X1M,P3,D11, 4-5,alpha_12_2X,-,direct,J10,39,2,A,,,,
X0S,P3,D11, 3-6,alpha_12_2X,-,direct,J10,39,3,A,,,,
X1S,P2E,D11, 7-8,alpha_12_2X,-,direct,J10,39,4,A,,,,
S2S,P1W,E9, 1-2,alpha_12_4U,-,direct,J10,51,1,A,,,,
S2M,P2E,E9, 4-5,alpha_12_4U,-,direct,J10,51,2,A,,,,
S1M,P2E,E9, 3-6,alpha_12_4U,-,direct,J10,51,3,A,,,,
S0M,P2E,E9, 7-8,alpha_12_4U,-,direct,J10,51,4,A,,,,
X2M,P4,E11, 1-2,alpha_12_3X,S3-1_1,Type 3 - OUT a,J16,37,5,A,,,,
X2M,P3,E11, 4-5,alpha_12_3X,S3-1_1,Type 3 - OUT b,J16,39,5,A,,,,
X0S,P4,E11, 3-6,alpha_12_3X,S3-1_1,Type 3 - OUT a,J16,37,7,A,,,,
X2S,P2E,E11, 7-8,alpha_12_3X,S3-1_1,Type 3 - OUT b,J16,39,7,A,,,,
S0S,P2W,F9, 1-2,alpha_12_5U,-,direct,J10,53,1,S,,,,
S0S,P2W,F9, 3-6,alpha_12_5U,-,direct,J10,53,3,S,,,,
X2S,P1W,F11, 1-2,alpha_12_4X,-,direct,J10,41,1,A,,,,
X2M,P2E,F11, 4-5,alpha_12_4X,-,direct,J10,41,2,A,,,,
X1M,P2E,F11, 3-6,alpha_12_4X,-,direct,J10,41,3,A,,,,
X0M,P2E,F11, 7-8,alpha_12_4X,-,direct,J10,41,4,A,,,,
S1S,P1W,G9, 1-2,alpha_12_6U,S1-9,Type 1 - OUT a,J16,53,5,M,,,,
