Sensed Flex,Sensed 4ASIC-group/DCB power,PPP Label,PPP Twisted Pair,Sense Line,Splitter Input,Splitter Output,LVR Con.,LVR Number,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Result,Comments
S0S,P2E,A1, 1-2,beta_12_5U,-,direct,J16,19,5,A,,,,
S1S,P1W,A1, 4-5,beta_12_5U,-,direct,J16,19,6,A,,,,
S0S,P1W,A1, 7-8,beta_12_5U,-,direct,J16,19,8,A,,,,
S2M,P4,A2, 1-2,beta_12_3U,S6-2_3,Type 6 - OUT b,J16,13,6,A,,,,
S2M,P3,A2, 4-5,beta_12_3U,S6-2_3,Type 6 - OUT d,J16,16,5,A,,,,
S2S,P2E,A2, 7-8,beta_12_3U,S6-2_3,Type 6 - OUT d,J16,16,7,A,,,,
S0M,P4,A3, 1-2,beta_12_1U,-,direct,J10,14,1,A,,,,
S1M,P4,A3, 4-5,beta_12_1U,-,direct,J10,14,2,A,,,,
S1S,P3,A3, 3-6,beta_12_1U,-,direct,J10,14,3,A,,,,
S2S,P3,A3, 7-8,beta_12_1U,-,direct,J10,14,4,A,,,,
X1M,P1W,A6, 1-2,beta_12_8X,-,direct,J10,12,1,A,,,,
X2M,P1W,A6, 4-5,beta_12_8X,-,direct,J10,12,2,A,,,,
X0M,P1W,A6, 7-8,beta_12_8X,-,direct,J10,12,4,A,,,,
S1M,P1W,A7, 1-2,gamma_12_8U,-,direct,J16,24,5,A,,,,
S2M,P1W,A7, 4-5,gamma_12_8U,-,direct,J16,24,6,A,,,,
S0M,P1W,A7, 7-8,gamma_12_8U,-,direct,J16,24,8,A,,,,
S0S,P2E,A8, 1-2,gamma_12_5U,-,direct,J16,20,5,A,,,,
S1S,P1W,A8, 4-5,gamma_12_5U,-,direct,J16,20,6,A,,,,
S0S,P1W,A8, 7-8,gamma_12_5U,-,direct,J16,20,8,A,,,,
S2S,P1W,A9, 1-2,gamma_12_4U,-,direct,J10,20,1,A,,,,
S2M,P2E,A9, 4-5,gamma_12_4U,-,direct,J10,20,2,A,,,,
S1M,P2E,A9, 3-6,gamma_12_4U,-,direct,J10,20,3,A,,,,
S0M,P2E,A9, 7-8,gamma_12_4U,-,direct,J10,20,4,A,,,,
S2M,P4,A10, 1-2,gamma_12_3U,S6-2_2,Type 6 - OUT b,J16,13,8,A,,,,
S2M,P3,A10, 4-5,gamma_12_3U,S6-2_2,Type 6 - OUT c,J16,17,5,A,,,,
S2S,P2E,A10, 7-8,gamma_12_3U,S6-2_2,Type 6 - OUT c,J16,17,7,A,,,,
S0M,P3,A11, 1-2,gamma_12_2U,-,direct,J10,17,1,A,,,,
S1M,P3,A11, 4-5,gamma_12_2U,-,direct,J10,17,2,A,,,,
S0S,P3,A11, 3-6,gamma_12_2U,-,direct,J10,17,3,A,,,,
S1S,P2E,A11, 7-8,gamma_12_2U,-,direct,J10,17,4,A,,,,
S0M,P4,A12, 1-2,gamma_12_1U,-,direct,J16,14,5,A,,,,
S1M,P4,A12, 4-5,gamma_12_1U,-,direct,J16,14,6,A,,,,
S1S,P3,A12, 3-6,gamma_12_1U,-,direct,J16,14,7,A,,,,
S2S,P3,A12, 7-8,gamma_12_1U,-,direct,J16,14,8,A,,,,
X1M,P1W,A18, 1-2,gamma_12_8X,-,direct,J16,12,5,A,,,,
X2M,P1W,A18, 4-5,gamma_12_8X,-,direct,J16,12,6,A,,,,
X0M,P1W,A18, 7-8,gamma_12_8X,-,direct,J16,12,8,A,,,,
X0S,P2E,A19, 1-2,gamma_12_5X,-,direct,J16,8,5,A,,,,
X1S,P1W,A19, 4-5,gamma_12_5X,-,direct,J16,8,6,A,,,,
X0S,P1W,A19, 7-8,gamma_12_5X,-,direct,J16,8,8,A,,,,
X2S,P1W,A20, 1-2,gamma_12_4X,-,direct,J10,8,1,A,,,,
X2M,P2E,A20, 4-5,gamma_12_4X,-,direct,J10,8,2,A,,,,
X1M,P2E,A20, 3-6,gamma_12_4X,-,direct,J10,8,3,A,,,,
X0M,P2E,A20, 7-8,gamma_12_4X,-,direct,J10,8,4,A,,,,
X2M,P4,A21, 1-2,gamma_12_3X,S6-1_2,Type 6 - OUT b,J16,1,8,A,,,,
X2M,P3,A21, 4-5,gamma_12_3X,S6-1_2,Type 6 - OUT c,J16,5,5,A,,,,
X2S,P2E,A21, 7-8,gamma_12_3X,S6-1_2,Type 6 - OUT c,J16,5,7,A,,,,
X0M,P3,A22, 1-2,gamma_12_2X,-,direct,J10,5,1,A,,,,
X1M,P3,A22, 4-5,gamma_12_2X,-,direct,J10,5,2,A,,,,
X0S,P3,A22, 3-6,gamma_12_2X,-,direct,J10,5,3,A,,,,
X1S,P2E,A22, 7-8,gamma_12_2X,-,direct,J10,5,4,A,,,,
X0M,P4,A23, 1-2,gamma_12_1X,-,direct,J16,2,5,A,,,,
X1M,P4,A23, 4-5,gamma_12_1X,-,direct,J16,2,6,A,,,,
X1S,P3,A23, 3-6,gamma_12_1X,-,direct,J16,2,7,A,,,,
X2S,P3,A23, 7-8,gamma_12_1X,-,direct,J16,2,8,A,,,,
S1M,P1W,B1, 1-2,beta_12_8U,-,direct,J10,24,1,A,,,,
S2M,P1W,B1, 4-5,beta_12_8U,-,direct,J10,24,2,A,,,,
S0M,P1W,B1, 7-8,beta_12_8U,-,direct,J10,24,4,A,,,,
S2S,P1W,B2, 1-2,beta_12_4U,-,direct,J10,19,1,A,,,,
S2M,P2E,B2, 4-5,beta_12_4U,-,direct,J10,19,2,A,,,,
S1M,P2E,B2, 3-6,beta_12_4U,-,direct,J10,19,3,A,,,,
S0M,P2E,B2, 7-8,beta_12_4U,-,direct,J10,19,4,A,,,,
S0M,P3,B3, 1-2,beta_12_2U,-,direct,J10,16,1,A,,,,
S1M,P3,B3, 4-5,beta_12_2U,-,direct,J10,16,2,A,,,,
S0S,P3,B3, 3-6,beta_12_2U,-,direct,J10,16,3,A,,,,
S1S,P2E,B3, 7-8,beta_12_2U,-,direct,J10,16,4,A,,,,
X0S,P2E,B7, 1-2,beta_12_5X,-,direct,J16,7,5,A,,,,
X1S,P1W,B7, 4-5,beta_12_5X,-,direct,J16,7,6,A,,,,
X0S,P1W,B7, 7-8,beta_12_5X,-,direct,J16,7,8,A,,,,
X2S,P1W,B8, 1-2,beta_12_4X,-,direct,J10,7,1,A,,,,
X2M,P2E,B8, 4-5,beta_12_4X,-,direct,J10,7,2,A,,,,
X1M,P2E,B8, 3-6,beta_12_4X,-,direct,J10,7,3,A,,,,
X0M,P2E,B8, 7-8,beta_12_4X,-,direct,J10,7,4,A,,,,
X2M,P4,B9, 1-2,beta_12_3X,S6-1_3,Type 6 - OUT b,J16,1,6,A,,,,
X2M,P3,B9, 4-5,beta_12_3X,S6-1_3,Type 6 - OUT d,J16,4,5,A,,,,
X2S,P2E,B9, 7-8,beta_12_3X,S6-1_3,Type 6 - OUT d,J16,4,7,A,,,,
X0M,P3,B10, 1-2,beta_12_2X,-,direct,J10,4,1,A,,,,
X1M,P3,B10, 4-5,beta_12_2X,-,direct,J10,4,2,A,,,,
X0S,P3,B10, 3-6,beta_12_2X,-,direct,J10,4,3,A,,,,
X1S,P2E,B10, 7-8,beta_12_2X,-,direct,J10,4,4,A,,,,
X0M,P4,B11, 1-2,beta_12_1X,-,direct,J10,2,1,A,,,,
X1M,P4,B11, 4-5,beta_12_1X,-,direct,J10,2,2,A,,,,
X1S,P3,B11, 3-6,beta_12_1X,-,direct,J10,2,3,A,,,,
X2S,P3,B11, 7-8,beta_12_1X,-,direct,J10,2,4,A,,,,
S0M,P3,C9, 1-2,alpha_12_2U,-,direct,J10,15,1,A,,,,
S1M,P3,C9, 4-5,alpha_12_2U,-,direct,J10,15,2,A,,,,
S0S,P3,C9, 3-6,alpha_12_2U,-,direct,J10,15,3,A,,,,
S1S,P2E,C9, 7-8,alpha_12_2U,-,direct,J10,15,4,A,,,,
X1M,P1W,C10, 1-2,alpha_12_8X,S4-3,Type 4 - OUT a,J10,11,1,M,,,,
X2M,P1W,C10, 4-5,alpha_12_8X,S4-3,Type 4 - OUT b,J16,11,5,A,,,,
X1M,P1W,C10, 3-6,alpha_12_8X,S4-3,Type 4 - OUT a,J10,11,3,M,,,,
X0M,P4,C11, 1-2,alpha_12_1X,-,direct,J10,1,1,A,,,,
X1M,P4,C11, 4-5,alpha_12_1X,-,direct,J10,1,2,A,,,,
X1S,P3,C11, 3-6,alpha_12_1X,-,direct,J10,1,3,A,,,,
X2S,P3,C11, 7-8,alpha_12_1X,-,direct,J10,1,4,A,,,,
S2M,P4,D9, 1-2,alpha_12_3U,S6-2_1,Type 6 - OUT b,J16,13,5,A,,,,
S2M,P3,D9, 4-5,alpha_12_3U,S6-2_1,Type 6 - OUT a,J16,15,5,A,,,,
S0S,P4,D9, 3-6,alpha_12_3U,S6-2_1,Type 6 - OUT b,J16,13,7,A,,,,
S2S,P2E,D9, 7-8,alpha_12_3U,S6-2_1,Type 6 - OUT a,J16,15,7,A,,,,
X0M,P3,D11, 1-2,alpha_12_2X,-,direct,J10,3,1,A,,,,
X1M,P3,D11, 4-5,alpha_12_2X,-,direct,J10,3,2,A,,,,
X0S,P3,D11, 3-6,alpha_12_2X,-,direct,J10,3,3,A,,,,
X1S,P2E,D11, 7-8,alpha_12_2X,-,direct,J10,3,4,A,,,,
S2S,P1W,E9, 1-2,alpha_12_4U,-,direct,J10,18,1,A,,,,
S2M,P2E,E9, 4-5,alpha_12_4U,-,direct,J10,18,2,A,,,,
S1M,P2E,E9, 3-6,alpha_12_4U,-,direct,J10,18,3,A,,,,
S0M,P2E,E9, 7-8,alpha_12_4U,-,direct,J10,18,4,A,,,,
X2M,P4,E11, 1-2,alpha_12_3X,S6-1_1,Type 6 - OUT b,J16,1,5,A,,,,
X2M,P3,E11, 4-5,alpha_12_3X,S6-1_1,Type 6 - OUT a,J16,3,5,A,,,,
X0S,P4,E11, 3-6,alpha_12_3X,S6-1_1,Type 6 - OUT b,J16,1,7,A,,,,
X2S,P2E,E11, 7-8,alpha_12_3X,S6-1_1,Type 6 - OUT a,J16,3,7,A,,,,
S0S,P2W,F9, 1-2,alpha_12_5U,-,direct,J10,21,1,S,,,,
S0S,P2W,F9, 3-6,alpha_12_5U,-,direct,J10,21,3,S,,,,
X2S,P1W,F11, 1-2,alpha_12_4X,-,direct,J10,6,1,A,,,,
X2M,P2E,F11, 4-5,alpha_12_4X,-,direct,J10,6,2,A,,,,
X1M,P2E,F11, 3-6,alpha_12_4X,-,direct,J10,6,3,A,,,,
X0M,P2E,F11, 7-8,alpha_12_4X,-,direct,J10,6,4,A,,,,
S1S,P1W,G9, 1-2,alpha_12_6U,S1-18,Type 1 - OUT a,J16,21,5,M,,,,
S0S,P1W,G9, 4-5,alpha_12_6U,S1-18,Type 1 - OUT b,J10,22,1,M,,,,
S1S,P1W,G9, 3-6,alpha_12_6U,S1-18,Type 1 - OUT a,J16,21,7,M,,,,
S0S,P1W,G9, 7-8,alpha_12_6U,S1-18,Type 1 - OUT b,J10,22,3,M,,,,
X0S,P2W,G11, 1-2,alpha_12_5X,-,direct,J10,9,1,S,,,,
X0S,P2W,G11, 3-6,alpha_12_5X,-,direct,J10,9,3,S,,,,
S0M,P1W,H9, 1-2,alpha_12_7U,-,direct,J16,22,5,M,,,,
S0M,P1W,H9, 3-6,alpha_12_7U,-,direct,J16,22,7,M,,,,
X1S,P1W,H11, 1-2,alpha_12_6X,S1-14,Type 1 - OUT a,J16,9,5,M,,,,
X0S,P1W,H11, 4-5,alpha_12_6X,S1-14,Type 1 - OUT b,J10,10,1,M,,,,
X1S,P1W,H11, 3-6,alpha_12_6X,S1-14,Type 1 - OUT a,J16,9,7,M,,,,
X0S,P1W,H11, 7-8,alpha_12_6X,S1-14,Type 1 - OUT b,J10,10,3,M,,,,
S1M,P1W,I9, 1-2,alpha_12_8U,S4-4,Type 4 - OUT a,J10,23,1,M,,,,
S2M,P1W,I9, 4-5,alpha_12_8U,S4-4,Type 4 - OUT b,J16,23,5,A,,,,
S1M,P1W,I9, 3-6,alpha_12_8U,S4-4,Type 4 - OUT a,J10,23,3,M,,,,
S0M,P4,I10, 1-2,alpha_12_1U,-,direct,J10,13,1,A,,,,
S1M,P4,I10, 4-5,alpha_12_1U,-,direct,J10,13,2,A,,,,
S1S,P3,I10, 3-6,alpha_12_1U,-,direct,J10,13,3,A,,,,
S2S,P3,I10, 7-8,alpha_12_1U,-,direct,J10,13,4,A,,,,
X0M,P1W,I11, 1-2,alpha_12_7X,-,direct,J16,10,5,M,,,,
X0M,P1W,I11, 3-6,alpha_12_7X,-,direct,J16,10,7,M,,,,
n/a,2V5,A4, 4-5,beta_25_1 (mag),-,direct,J10,35,2,A,,,,
n/a,1V5,A5, 3-6,beta_15_2,S1-20,Type 1 - OUT a,J10,32,3,M,,,,
n/a,1V5,A5, 7-8,beta_15_2,S1-20,Type 1 - OUT b,J16,32,7,M,,,,
n/a,2V5,A13, 1-2,gamma_25_2 (mag),-,direct,J16,36,5,A,,,,
n/a,2V5,A13, 4-5,gamma_25_2 (mag),-,direct,J16,36,6,A,,,,
n/a,2V5,A13, 3-6,gamma_25_2 (mag),-,direct,J16,36,7,A,,,,
n/a,2V5,A13, 7-8,gamma_25_2 (mag),-,direct,J16,36,8,A,,,,
n/a,2V5,A14, 4-5,gamma_25_1 (mag),-,direct,J10,36,2,A,,,,
n/a,1V5,A15, 1-2,gamma_15_3,S1-10,Type 1 - OUT a,J10,31,1,M,,,,
n/a,1V5,A15, 4-5,gamma_15_3,S1-10,Type 1 - OUT b,J16,31,5,M,,,,
n/a,1V5,A15, 3-6,gamma_15_3,S1-10,Type 1 - OUT a,J10,31,3,M,,,,
n/a,1V5,A15, 7-8,gamma_15_3,S1-10,Type 1 - OUT b,J16,31,7,M,,,,
n/a,1V5,A16, 3-6,gamma_15_2,S1-21,Type 1 - OUT a,J10,29,3,M,,,,
n/a,1V5,A16, 7-8,gamma_15_2,S1-21,Type 1 - OUT b,J16,29,7,M,,,,
n/a,1V5,A17, 1-2,gamma_15_1,S1-11,Type 1 - OUT a,J10,33,1,M,,,,
n/a,1V5,A17, 4-5,gamma_15_1,S1-11,Type 1 - OUT b,J16,33,5,M,,,,
n/a,1V5,A17, 3-6,gamma_15_1,S1-11,Type 1 - OUT a,J10,33,3,M,,,,
n/a,1V5,A17, 7-8,gamma_15_1,S1-11,Type 1 - OUT b,J16,33,7,M,,,,
n/a,2V5,B4, 1-2,beta_25_2 (mag),-,direct,J16,35,5,A,,,,
n/a,2V5,B4, 4-5,beta_25_2 (mag),-,direct,J16,35,6,A,,,,
n/a,2V5,B4, 3-6,beta_25_2 (mag),-,direct,J16,35,7,A,,,,
n/a,2V5,B4, 7-8,beta_25_2 (mag),-,direct,J16,35,8,A,,,,
n/a,1V5,B5, 1-2,beta_15_3,S1-12,Type 1 - OUT a,J10,28,1,M,,,,
n/a,1V5,B5, 4-5,beta_15_3,S1-12,Type 1 - OUT b,J16,28,5,M,,,,
n/a,1V5,B5, 3-6,beta_15_3,S1-12,Type 1 - OUT a,J10,28,3,M,,,,
n/a,1V5,B5, 7-8,beta_15_3,S1-12,Type 1 - OUT b,J16,28,7,M,,,,
n/a,1V5,B6, 1-2,beta_15_1,S1-13,Type 1 - OUT a,J10,30,1,M,,,,
n/a,1V5,B6, 4-5,beta_15_1,S1-13,Type 1 - OUT b,J16,30,5,M,,,,
n/a,1V5,B6, 3-6,beta_15_1,S1-13,Type 1 - OUT a,J10,30,3,M,,,,
n/a,1V5,B6, 7-8,beta_15_1,S1-13,Type 1 - OUT b,J16,30,7,M,,,,
n/a,1V5,D10, 1-2,alpha_15_1,S1-15,Type 1 - OUT a,J10,25,1,M,,,,
n/a,1V5,D10, 4-5,alpha_15_1,S1-15,Type 1 - OUT b,J16,25,5,M,,,,
n/a,1V5,D10, 3-6,alpha_15_1,S1-15,Type 1 - OUT a,J10,25,3,M,,,,
n/a,1V5,D10, 7-8,alpha_15_1,S1-15,Type 1 - OUT b,J16,25,7,M,,,,
n/a,1V5,E10, 1-2,alpha_15_2,S1-16,Type 1 - OUT a,J10,26,1,M,,,,
n/a,1V5,E10, 4-5,alpha_15_2,S1-16,Type 1 - OUT b,J16,26,5,M,,,,
n/a,1V5,E10, 3-6,alpha_15_2,S1-16,Type 1 - OUT a,J10,26,3,M,,,,
n/a,1V5,E10, 7-8,alpha_15_2,S1-16,Type 1 - OUT b,J16,26,7,M,,,,
n/a,1V5,F10, 1-2,alpha_15_3,S1-17,Type 1 - OUT a,J10,27,1,M,,,,
n/a,1V5,F10, 4-5,alpha_15_3,S1-17,Type 1 - OUT b,J16,27,5,M,,,,
n/a,1V5,F10, 3-6,alpha_15_3,S1-17,Type 1 - OUT a,J10,27,3,M,,,,
n/a,1V5,F10, 7-8,alpha_15_3,S1-17,Type 1 - OUT b,J16,27,7,M,,,,
n/a,2V5,G10, 4-5,alpha_25_1,-,direct,J10,34,2,A,,,,
n/a,2V5,G10, 3-6,alpha_25_1,-,direct,J10,34,3,A,,,,
