PPP Label,Pos. Src,Pos. Ret,Backplane,BP Con.,Flex Name,4ASIC-group/DCB power,SBC Label,LVR Logical ID,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Measured Current,Result,Comments
P17,6,14,gamma,JP6,X1M,P3,5 - J12 - 6/5,5,2,A,,,,,
P18,1,9,gamma,JP11,X2S,P1W,8 - J12 - 8/7,8,1,A,,,,,
P18,2,10,gamma,JP11,X2S,P2E,5 - J13 - 4/3,5,7,A,,,,,
P18,4,12,gamma,JP10,X2M,P1W,12 - J13 - 6/5,12,6,A,,,,,
P18,5,13,gamma,JP10,X2M,P2E,8 - J12 - 6/5,8,2,A,,,,,
P18,6,14,gamma,JP10,X2M,P3,5 - J13 - 8/7,5,5,A,,,,,
P34,1,9,gamma,JP2,X0M,P4,2 - J13 - 8/7,2,5,A,,,,,
P34,2,10,gamma,JP6,X1M,P4,2 - J13 - 6/5,2,6,A,,,,,
P34,3,11,gamma,JP10,X2M,P4,1 - J13 - 2/1,1,8,A,,,,,
P34,4,12,gamma,JP11,X2S,P3,2 - J13 - 2/1,2,8,A,,,,,
P26,1,9,beta,JD7,n/a,1V5,28 - J13 - 8/7,28,5.0,M,,,,,
P26,2,10,beta,JD7,n/a,1V5,28 - J13 - 6/5,28,6.0,S,,,,,
P26,3,11,beta,JD7-6,n/a,2V5,35 - J13 - 8/7,35,5.0,A,,,,,
P26,4,12,beta,JD8,n/a,1V5,30 - J13 - 4/3,30,7.0,M,,,,,
P26,5,13,beta,JD8,n/a,1V5,30 - J13 - 2/1,30,8.0,S,,,,,
P26,6,14,beta,JD11-10,n/a,2V5,35 - J12 - 6/5,35,2.0,A,,,,,
P26,7,15,beta,JD11,n/a,1V5,32 - J13 - 4/3,32,7.0,M,,,,,
P27,1,9,beta,JD0,n/a,1V5,30 - J12 - 4/3,30,3.0,M,,,,,
P27,2,10,beta,JD1,n/a,1V5,30 - J12 - 6/5,30,2.0,S,,,,,
P27,3,11,beta,JD1,n/a,1V5,30 - J12 - 8/7,30,1.0,M,,,,,
P27,4,12,beta,JD4,n/a,1V5,28 - J12 - 4/3,28,3.0,M,,,,,
P27,5,13,beta,JD4,n/a,1V5,28 - J12 - 2/1,28,4.0,S,,,,,
P27,6,14,beta,JD0,n/a,1V5,30 - J12 - 2/1,30,4.0,S,,,,,
P29,1,9,beta,JD6,n/a,1V5,28 - J13 - 2/1,28,8.0,S,,,,,
P29,2,10,beta,JD6,n/a,1V5,28 - J13 - 4/3,28,7.0,M,,,,,
P29,3,11,beta,JD9,n/a,1V5,30 - J13 - 6/5,30,6.0,S,,,,,
P29,4,12,beta,JD9-8,n/a,2V5,35 - J13 - 6/5,35,6.0,A,,,,,
P29,5,13,beta,JD9,n/a,1V5,30 - J13 - 8/7,30,5.0,M,,,,,
P29,6,14,beta,JD10,n/a,1V5,32 - J12 - 2/1,32,4.0,S,,,,,
P29,7,15,beta,JD10,n/a,1V5,32 - J12 - 4/3,32,3.0,M,,,,,
P29,8,16,beta,JD11,n/a,1V5,32 - J13 - 2/1,32,8.0,S,,,,,
P30,1,9,beta,JD1-0,n/a,2V5,35 - J13 - 2/1,35,8.0,A,,,,,
P30,3,11,beta,JD5,n/a,1V5,28 - J12 - 6/5,28,2.0,S,,,,,
P30,4,12,beta,JD5-4,n/a,2V5,35 - J13 - 4/3,35,7.0,A,,,,,
P30,5,13,beta,JD5,n/a,1V5,28 - J12 - 8/7,28,1.0,M,,,,,
P7,1,9,beta,JP0,S0S,P1W,19 - J13 - 2/1,19,8,A,,,,,
P7,2,10,beta,JP0,S0S,P2E,19 - J13 - 8/7,19,5,A,,,,,
P7,3,11,beta,JP0,S0S,P3,16 - J12 - 4/3,16,3,A,,,,,
P7,4,12,beta,JP1,S0M,P1W,24 - J12 - 2/1,24,4,A,,,,,
P7,5,13,beta,JP1,S0M,P2E,19 - J12 - 2/1,19,4,A,,,,,
P7,6,14,beta,JP1,S0M,P3,16 - J12 - 8/7,16,1,A,,,,,
P8,1,9,beta,JP4,S1S,P1W,19 - J13 - 6/5,19,6,A,,,,,
P8,2,10,beta,JP4,S1S,P2E,16 - J12 - 2/1,16,4,A,,,,,
P8,3,11,beta,JP4,S1S,P3,14 - J12 - 4/3,14,3,A,,,,,
P8,4,12,beta,JP5,S1M,P1W,24 - J12 - 8/7,24,1,A,,,,,
P8,5,13,beta,JP5,S1M,P2E,19 - J12 - 4/3,19,3,A,,,,,
P8,6,14,beta,JP5,S1M,P3,16 - J12 - 6/5,16,2,A,,,,,
P9,1,9,beta,JP8,S2S,P1W,19 - J12 - 8/7,19,1,A,,,,,
P9,2,10,beta,JP8,S2S,P2E,16 - J13 - 4/3,16,7,A,,,,,
P9,3,11,beta,JP8,S2S,P3,14 - J12 - 2/1,14,4,A,,,,,
P9,4,12,beta,JP9,S2M,P1W,24 - J12 - 6/5,24,2,A,,,,,
P9,5,13,beta,JP9,S2M,P2E,19 - J12 - 6/5,19,2,A,,,,,
P9,6,14,beta,JP9,S2M,P3,16 - J13 - 8/7,16,5,A,,,,,
P25,1,9,beta,JP1,S0M,P4,14 - J12 - 8/7,14,1,A,,,,,
P25,2,10,beta,JP5,S1M,P4,14 - J12 - 6/5,14,2,A,,,,,
P25,3,11,beta,JP9,S2M,P4,13 - J13 - 6/5,13,6,A,,,,,
P10,1,9,beta,JP3,X0S,P1W,7 - J13 - 2/1,7,8,A,,,,,
P10,2,10,beta,JP3,X0S,P2E,7 - J13 - 8/7,7,5,A,,,,,
P10,3,11,beta,JP3,X0S,P3,4 - J12 - 4/3,4,3,A,,,,,
P10,4,12,beta,JP2,X0M,P1W,12 - J12 - 2/1,12,4,A,,,,,
P10,5,13,beta,JP2,X0M,P2E,7 - J12 - 2/1,7,4,A,,,,,
P10,6,14,beta,JP2,X0M,P3,4 - J12 - 8/7,4,1,A,,,,,
P11,1,9,beta,JP7,X1S,P1W,7 - J13 - 6/5,7,6,A,,,,,
P11,2,10,beta,JP7,X1S,P2E,4 - J12 - 2/1,4,4,A,,,,,
P11,3,11,beta,JP7,X1S,P3,2 - J12 - 4/3,2,3,A,,,,,
P11,4,12,beta,JP6,X1M,P1W,12 - J12 - 8/7,12,1,A,,,,,
P11,5,13,beta,JP6,X1M,P2E,7 - J12 - 4/3,7,3,A,,,,,
P11,6,14,beta,JP6,X1M,P3,4 - J12 - 6/5,4,2,A,,,,,
P12,1,9,beta,JP11,X2S,P1W,7 - J12 - 8/7,7,1,A,,,,,
P12,2,10,beta,JP11,X2S,P2E,4 - J13 - 4/3,4,7,A,,,,,
P12,4,12,beta,JP10,X2M,P1W,12 - J12 - 6/5,12,2,A,,,,,
P12,5,13,beta,JP10,X2M,P2E,7 - J12 - 6/5,7,2,A,,,,,
P12,6,14,beta,JP10,X2M,P3,4 - J13 - 8/7,4,5,A,,,,,
P28,1,9,beta,JP2,X0M,P4,2 - J12 - 8/7,2,1,A,,,,,
P28,2,10,beta,JP6,X1M,P4,2 - J12 - 6/5,2,2,A,,,,,
P28,3,11,beta,JP10,X2M,P4,1 - J13 - 6/5,1,6,A,,,,,
P28,4,12,beta,JP11,X2S,P3,2 - J12 - 2/1,2,4,A,,,,,
P20,1,9,alpha,JD7,n/a,1V5,27 - J13 - 8/7,27,5.0,M,,,,,
P20,2,10,alpha,JD7,n/a,1V5,27 - J13 - 6/5,27,6.0,S,,,,,
P20,3,11,alpha,JD7-6,n/a,2V5,34 - J13 - 8/7,34,5.0,A,,,,,
P20,4,12,alpha,JD8,n/a,1V5,25 - J13 - 4/3,25,7.0,M,,,,,
P20,5,13,alpha,JD8,n/a,1V5,25 - J13 - 2/1,25,8.0,S,,,,,
P20,6,14,alpha,JD11-10,n/a,2V5,34 - J12 - 6/5,34,2.0,A,,,,,
P20,7,15,alpha,JD11,n/a,1V5,26 - J13 - 4/3,26,7.0,M,,,,,
P21,1,9,alpha,JD0,n/a,1V5,25 - J12 - 4/3,25,3.0,M,,,,,
P21,2,10,alpha,JD1,n/a,1V5,25 - J12 - 6/5,25,2.0,S,,,,,
P21,3,11,alpha,JD1,n/a,1V5,25 - J12 - 8/7,25,1.0,M,,,,,
P21,4,12,alpha,JD4,n/a,1V5,27 - J12 - 4/3,27,3.0,M,,,,,
P21,5,13,alpha,JD4,n/a,1V5,27 - J12 - 2/1,27,4.0,S,,,,,
P21,6,14,alpha,JD0,n/a,1V5,25 - J12 - 2/1,25,4.0,S,,,,,
P21,7,15,alpha,JD3-2,n/a,2V5,34 - J12 - 4/3,34,3.0,A,,,,,
P23,1,9,alpha,JD6,n/a,1V5,27 - J13 - 2/1,27,8.0,S,,,,,
P23,2,10,alpha,JD6,n/a,1V5,27 - J13 - 4/3,27,7.0,M,,,,,
P23,3,11,alpha,JD9,n/a,1V5,25 - J13 - 6/5,25,6.0,S,,,,,
P23,4,12,alpha,JD9-8,n/a,2V5,34 - J13 - 6/5,34,6.0,A,,,,,
P23,5,13,alpha,JD9,n/a,1V5,25 - J13 - 8/7,25,5.0,M,,,,,
P23,6,14,alpha,JD10,n/a,1V5,26 - J12 - 2/1,26,4.0,S,,,,,
P23,7,15,alpha,JD10,n/a,1V5,26 - J12 - 4/3,26,3.0,M,,,,,
P23,8,16,alpha,JD11,n/a,1V5,26 - J13 - 2/1,26,8.0,S,,,,,
P24,1,9,alpha,JD1-0,n/a,2V5,34 - J13 - 2/1,34,8.0,A,,,,,
P24,2,10,alpha,JD3,n/a,1V5,26 - J13 - 8/7,26,5.0,M,,,,,
P24,3,11,alpha,JD5,n/a,1V5,27 - J12 - 6/5,27,2.0,S,,,,,
P24,4,12,alpha,JD5-4,n/a,2V5,34 - J13 - 4/3,34,7.0,A,,,,,
P24,5,13,alpha,JD5,n/a,1V5,27 - J12 - 8/7,27,1.0,M,,,,,
P24,6,14,alpha,JD3,n/a,1V5,26 - J13 - 6/5,26,6.0,S,,,,,
P24,7,15,alpha,JD2,n/a,1V5,26 - J12 - 8/7,26,1.0,M,,,,,
P24,8,16,alpha,JD2,n/a,1V5,26 - J12 - 6/5,26,2.0,S,,,,,
P1,1,9,alpha,JP0,S0S,P1W,22 - J12 - 4/3  Y  22 - J12 - 8/7,22,3 Y 1,M,,,,,
P1,2,10,alpha,JP0,S0S,P2E,21 - J12 - 2/1  Y  21 - J12 - 6/5,21,4 Y 2,M,,,,,
P1,3,11,alpha,JP0,S0S,P3,15 - J12 - 4/3,15,3,A,,,,,
P1,4,12,alpha,JP1,S0M,P1W,22 - J13 - 4/3  Y  22 - J13 - 8/7,22,7 Y 5,M,,,,,
P1,5,13,alpha,JP1,S0M,P2E,18 - J12 - 2/1,18,4,A,,,,,
P1,6,14,alpha,JP1,S0M,P3,15 - J12 - 8/7,15,1,A,,,,,
P1,7,15,alpha,JP0,S0S,P1E,22 - J12 - 2/1  Y  22 - J12 - 6/5,22,4 Y 2,S,,,,,
P1,8,16,alpha,JP1,S0M,P1E,22 - J13 - 2/1  Y  22 - J13 - 6/5,22,8 Y 6,S,,,,,
P2,1,9,alpha,JP4,S1S,P1W,21 - J13 - 4/3  Y  21 - J13 - 8/7,21,7 Y 5,M,,,,,
P2,2,10,alpha,JP4,S1S,P2E,15 - J12 - 2/1,15,4,A,,,,,
P2,3,11,alpha,JP4,S1S,P3,13 - J12 - 4/3,13,3,A,,,,,
P2,4,12,alpha,JP5,S1M,P1W,23 - J12 - 4/3  Y  23 - J12 - 8/7,23,3 Y 1,M,,,,,
P2,5,13,alpha,JP5,S1M,P2E,18 - J12 - 4/3,18,3,A,,,,,
P2,6,14,alpha,JP5,S1M,P3,15 - J12 - 6/5,15,2,A,,,,,
P2,7,15,alpha,JP0,S0S,P2W,21 - J12 - 4/3  Y  21 - J12 - 8/7,21,3 Y 1,S,,,,,
P2,8,16,alpha,JP5,S1M,P1E,23 - J12 - 2/1  Y  23 - J12 - 6/5,23,4 Y 2,S,,,,,
