Sensed Flex,Sensed 4ASIC-group/DCB power,PPP Label,PPP Twisted Pair,Sense Line,Splitter Input,Splitter Output,LVR Con.,LVR Number,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Result,Comments
X0M,P3,A1, 1-2,beta_12_2X,-,direct,J10,40,1,A,,,,
X1M,P3,A1, 4-5,beta_12_2X,-,direct,J10,40,2,A,,,,
X0S,P3,A1, 3-6,beta_12_2X,-,direct,J10,40,3,A,,,,
X1S,P2E,A1, 7-8,beta_12_2X,-,direct,J10,40,4,A,,,,
X2S,P1W,A2, 1-2,beta_12_4X,-,direct,J16,41,5,A,,,,
X2M,P2E,A2, 4-5,beta_12_4X,-,direct,J16,41,6,A,,,,
X1M,P2E,A2, 3-6,beta_12_4X,-,direct,J16,41,7,A,,,,
X0M,P2E,A2, 7-8,beta_12_4X,-,direct,J16,41,8,A,,,,
X1M,P1W,A3, 1-2,beta_12_8X,-,direct,J10,46,1,A,,,,
X2M,P1W,A3, 4-5,beta_12_8X,-,direct,J10,46,2,A,,,,
X0M,P1W,A3, 7-8,beta_12_8X,-,direct,J10,46,4,A,,,,
S0M,P4,A6, 1-2,beta_12_1U,-,direct,J10,48,1,A,,,,
S1M,P4,A6, 4-5,beta_12_1U,-,direct,J10,48,2,A,,,,
S1S,P3,A6, 3-6,beta_12_1U,-,direct,J10,48,3,A,,,,
S2S,P3,A6, 7-8,beta_12_1U,-,direct,J10,48,4,A,,,,
X0M,P4,A7, 1-2,gamma_12_1X,-,direct,J16,38,5,A,,,,
X1M,P4,A7, 4-5,gamma_12_1X,-,direct,J16,38,6,A,,,,
X1S,P3,A7, 3-6,gamma_12_1X,-,direct,J16,38,7,A,,,,
X0M,P3,A8, 1-2,gamma_12_2X,-,direct,J16,40,5,A,,,,
X1M,P3,A8, 4-5,gamma_12_2X,-,direct,J16,40,6,A,,,,
X0S,P3,A8, 3-6,gamma_12_2X,-,direct,J16,40,7,A,,,,
X1S,P2E,A8, 7-8,gamma_12_2X,-,direct,J16,40,8,A,,,,
X1M,P2E,A10, 3-6,gamma_12_4X,S2-1_2,Type 2 - OUT a,J16,42,7,A,,,,
X0M,P2E,A10, 7-8,gamma_12_4X,S2-1_2,Type 2 - OUT b,J10,42,3,A,,,,
X0S,P2E,A11, 1-2,gamma_12_5X,S2-1_1,Type 2 - OUT a,J16,42,5,A,,,,
X1S,P1W,A11, 4-5,gamma_12_5X,S2-1_1,Type 2 - OUT a,J16,42,6,A,,,,
X0S,P1W,A11, 7-8,gamma_12_5X,S2-1_1,Type 2 - OUT a,J16,42,8,A,,,,
X1M,P1W,A12, 1-2,gamma_12_8X,-,direct,J16,46,5,A,,,,
X0M,P1W,A12, 7-8,gamma_12_8X,-,direct,J16,46,8,A,,,,
S0M,P4,A18, 1-2,gamma_12_1U,-,direct,J16,48,5,A,,,,
S1M,P4,A18, 4-5,gamma_12_1U,-,direct,J16,48,6,A,,,,
S1S,P3,A18, 3-6,gamma_12_1U,-,direct,J16,48,7,A,,,,
S0M,P3,A19, 1-2,gamma_12_2U,-,direct,J16,50,5,A,,,,
S1M,P3,A19, 4-5,gamma_12_2U,-,direct,J16,50,6,A,,,,
S0S,P3,A19, 3-6,gamma_12_2U,-,direct,J16,50,7,A,,,,
S1S,P2E,A19, 7-8,gamma_12_2U,-,direct,J16,50,8,A,,,,
S1M,P2E,A21, 3-6,gamma_12_4U,S2-2_2,Type 2 - OUT a,J16,52,7,A,,,,
S0M,P2E,A21, 7-8,gamma_12_4U,S2-2_2,Type 2 - OUT b,J10,52,3,A,,,,
S0S,P2E,A22, 1-2,gamma_12_5U,S2-2_1,Type 2 - OUT a,J16,52,5,A,,,,
S1S,P1W,A22, 4-5,gamma_12_5U,S2-2_1,Type 2 - OUT a,J16,52,6,A,,,,
S0S,P1W,A22, 7-8,gamma_12_5U,S2-2_1,Type 2 - OUT a,J16,52,8,A,,,,
S1M,P1W,A23, 1-2,gamma_12_8U,-,direct,J16,56,5,A,,,,
S0M,P1W,A23, 7-8,gamma_12_8U,-,direct,J16,56,8,A,,,,
X0M,P4,B1, 1-2,beta_12_1X,-,direct,J10,38,1,A,,,,
X1M,P4,B1, 4-5,beta_12_1X,-,direct,J10,38,2,A,,,,
X1S,P3,B1, 3-6,beta_12_1X,-,direct,J10,38,3,A,,,,
X2S,P3,B1, 7-8,beta_12_1X,-,direct,J10,38,4,A,,,,
X2M,P4,B2, 1-2,beta_12_3X,S3-1_2,Type 3 - OUT a,J16,37,6,A,,,,
X2M,P3,B2, 4-5,beta_12_3X,S3-1_2,Type 3 - OUT b,J16,39,6,A,,,,
X2S,P2E,B2, 7-8,beta_12_3X,S3-1_2,Type 3 - OUT b,J16,39,8,A,,,,
X0S,P2E,B3, 1-2,beta_12_5X,S2-1_3,Type 2 - OUT b,J10,42,1,A,,,,
X1S,P1W,B3, 4-5,beta_12_5X,S2-1_3,Type 2 - OUT b,J10,42,2,A,,,,
X0S,P1W,B3, 7-8,beta_12_5X,S2-1_3,Type 2 - OUT b,J10,42,4,A,,,,
S0M,P3,B7, 1-2,beta_12_2U,-,direct,J10,50,1,A,,,,
S1M,P3,B7, 4-5,beta_12_2U,-,direct,J10,50,2,A,,,,
S0S,P3,B7, 3-6,beta_12_2U,-,direct,J10,50,3,A,,,,
S1S,P2E,B7, 7-8,beta_12_2U,-,direct,J10,50,4,A,,,,
S2M,P4,B8, 1-2,beta_12_3U,S3-2_2,Type 3 - OUT a,J16,47,6,A,,,,
S2M,P3,B8, 4-5,beta_12_3U,S3-2_2,Type 3 - OUT b,J16,49,6,A,,,,
S2S,P2E,B8, 7-8,beta_12_3U,S3-2_2,Type 3 - OUT b,J16,49,8,A,,,,
S2S,P1W,B9, 1-2,beta_12_4U,-,direct,J16,51,5,A,,,,
S2M,P2E,B9, 4-5,beta_12_4U,-,direct,J16,51,6,A,,,,
S1M,P2E,B9, 3-6,beta_12_4U,-,direct,J16,51,7,A,,,,
S0M,P2E,B9, 7-8,beta_12_4U,-,direct,J16,51,8,A,,,,
S0S,P2E,B10, 1-2,beta_12_5U,S2-2_3,Type 2 - OUT b,J10,52,1,A,,,,
S1S,P1W,B10, 4-5,beta_12_5U,S2-2_3,Type 2 - OUT b,J10,52,2,A,,,,
S0S,P1W,B10, 7-8,beta_12_5U,S2-2_3,Type 2 - OUT b,J10,52,4,A,,,,
S1M,P1W,B11, 1-2,beta_12_8U,-,direct,J10,56,1,A,,,,
S2M,P1W,B11, 4-5,beta_12_8U,-,direct,J10,56,2,A,,,,
S0M,P1W,B11, 7-8,beta_12_8U,-,direct,J10,56,4,A,,,,
X0M,P1W,C9, 1-2,alpha_12_7X,-,direct,J16,44,5,M,,,,
X0M,P1W,C9, 3-6,alpha_12_7X,-,direct,J16,44,7,M,,,,
S0M,P4,C10, 1-2,alpha_12_1U,-,direct,J10,47,1,A,,,,
S1M,P4,C10, 4-5,alpha_12_1U,-,direct,J10,47,2,A,,,,
S1S,P3,C10, 3-6,alpha_12_1U,-,direct,J10,47,3,A,,,,
S2S,P3,C10, 7-8,alpha_12_1U,-,direct,J10,47,4,A,,,,
S1M,P1W,C11, 1-2,alpha_12_8U,S4-2,Type 4 - OUT a,J10,55,1,M,,,,
S2M,P1W,C11, 4-5,alpha_12_8U,S4-2,Type 4 - OUT b,J16,55,5,A,,,,
S1M,P1W,C11, 3-6,alpha_12_8U,S4-2,Type 4 - OUT a,J10,55,3,M,,,,
X1S,P1W,D9, 1-2,alpha_12_6X,S1-51,Type 1 - OUT a,J16,43,5,M,,,,
X0S,P1W,D9, 4-5,alpha_12_6X,S1-51,Type 1 - OUT b,J10,44,1,M,,,,
