Sensed Flex,Sensed 4ASIC-group/DCB power,PPP Label,PPP Twisted Pair,Sense Line,Splitter Input,Splitter Output,LVR Con.,LVR Number,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Result,Comments
X0M,P3,A1, 1-2,beta_12_2X,-,direct,J10,4,1,A,,,,
X1M,P3,A1, 4-5,beta_12_2X,-,direct,J10,4,2,A,,,,
X0S,P3,A1, 3-6,beta_12_2X,-,direct,J10,4,3,A,,,,
X1S,P2E,A1, 7-8,beta_12_2X,-,direct,J10,4,4,A,,,,
X2S,P1W,A2, 1-2,beta_12_4X,-,direct,J10,7,1,A,,,,
X2M,P2E,A2, 4-5,beta_12_4X,-,direct,J10,7,2,A,,,,
X1M,P2E,A2, 3-6,beta_12_4X,-,direct,J10,7,3,A,,,,
X0M,P2E,A2, 7-8,beta_12_4X,-,direct,J10,7,4,A,,,,
X1M,P1W,A3, 1-2,beta_12_8X,-,direct,J10,12,1,A,,,,
X2M,P1W,A3, 4-5,beta_12_8X,-,direct,J10,12,2,A,,,,
X0M,P1W,A3, 7-8,beta_12_8X,-,direct,J10,12,4,A,,,,
S0M,P4,A6, 1-2,beta_12_1U,-,direct,J10,14,1,A,,,,
S1M,P4,A6, 4-5,beta_12_1U,-,direct,J10,14,2,A,,,,
S1S,P3,A6, 3-6,beta_12_1U,-,direct,J10,14,3,A,,,,
S2S,P3,A6, 7-8,beta_12_1U,-,direct,J10,14,4,A,,,,
X0M,P4,A7, 1-2,gamma_12_1X,-,direct,J16,2,5,A,,,,
X1M,P4,A7, 4-5,gamma_12_1X,-,direct,J16,2,6,A,,,,
X1S,P3,A7, 3-6,gamma_12_1X,-,direct,J16,2,7,A,,,,
X2S,P3,A7, 7-8,gamma_12_1X,-,direct,J16,2,8,A,,,,
X0M,P3,A8, 1-2,gamma_12_2X,-,direct,J10,5,1,A,,,,
X1M,P3,A8, 4-5,gamma_12_2X,-,direct,J10,5,2,A,,,,
X0S,P3,A8, 3-6,gamma_12_2X,-,direct,J10,5,3,A,,,,
X1S,P2E,A8, 7-8,gamma_12_2X,-,direct,J10,5,4,A,,,,
X2M,P4,A9, 1-2,gamma_12_3X,S6-1_2,Type 6 - OUT b,J16,1,8,A,,,,
X2M,P3,A9, 4-5,gamma_12_3X,S6-1_2,Type 6 - OUT c,J16,5,5,A,,,,
X2S,P2E,A9, 7-8,gamma_12_3X,S6-1_2,Type 6 - OUT c,J16,5,7,A,,,,
X2S,P1W,A10, 1-2,gamma_12_4X,-,direct,J10,8,1,A,,,,
X2M,P2E,A10, 4-5,gamma_12_4X,-,direct,J10,8,2,A,,,,
X1M,P2E,A10, 3-6,gamma_12_4X,-,direct,J10,8,3,A,,,,
X0M,P2E,A10, 7-8,gamma_12_4X,-,direct,J10,8,4,A,,,,
X0S,P2E,A11, 1-2,gamma_12_5X,-,direct,J16,8,5,A,,,,
X1S,P1W,A11, 4-5,gamma_12_5X,-,direct,J16,8,6,A,,,,
X0S,P1W,A11, 7-8,gamma_12_5X,-,direct,J16,8,8,A,,,,
X1M,P1W,A12, 1-2,gamma_12_8X,-,direct,J16,12,5,A,,,,
X2M,P1W,A12, 4-5,gamma_12_8X,-,direct,J16,12,6,A,,,,
X0M,P1W,A12, 7-8,gamma_12_8X,-,direct,J16,12,8,A,,,,
S0M,P4,A18, 1-2,gamma_12_1U,-,direct,J16,14,5,A,,,,
S1M,P4,A18, 4-5,gamma_12_1U,-,direct,J16,14,6,A,,,,
S1S,P3,A18, 3-6,gamma_12_1U,-,direct,J16,14,7,A,,,,
S2S,P3,A18, 7-8,gamma_12_1U,-,direct,J16,14,8,A,,,,
S0M,P3,A19, 1-2,gamma_12_2U,-,direct,J10,17,1,A,,,,
S1M,P3,A19, 4-5,gamma_12_2U,-,direct,J10,17,2,A,,,,
S0S,P3,A19, 3-6,gamma_12_2U,-,direct,J10,17,3,A,,,,
S1S,P2E,A19, 7-8,gamma_12_2U,-,direct,J10,17,4,A,,,,
S2M,P4,A20, 1-2,gamma_12_3U,S6-2_2,Type 6 - OUT b,J16,13,8,A,,,,
S2M,P3,A20, 4-5,gamma_12_3U,S6-2_2,Type 6 - OUT c,J16,17,5,A,,,,
S2S,P2E,A20, 7-8,gamma_12_3U,S6-2_2,Type 6 - OUT c,J16,17,7,A,,,,
S2S,P1W,A21, 1-2,gamma_12_4U,-,direct,J10,20,1,A,,,,
S2M,P2E,A21, 4-5,gamma_12_4U,-,direct,J10,20,2,A,,,,
S1M,P2E,A21, 3-6,gamma_12_4U,-,direct,J10,20,3,A,,,,
S0M,P2E,A21, 7-8,gamma_12_4U,-,direct,J10,20,4,A,,,,
S0S,P2E,A22, 1-2,gamma_12_5U,-,direct,J16,20,5,A,,,,
S1S,P1W,A22, 4-5,gamma_12_5U,-,direct,J16,20,6,A,,,,
S0S,P1W,A22, 7-8,gamma_12_5U,-,direct,J16,20,8,A,,,,
S1M,P1W,A23, 1-2,gamma_12_8U,-,direct,J16,24,5,A,,,,
S2M,P1W,A23, 4-5,gamma_12_8U,-,direct,J16,24,6,A,,,,
S0M,P1W,A23, 7-8,gamma_12_8U,-,direct,J16,24,8,A,,,,
X0M,P4,B1, 1-2,beta_12_1X,-,direct,J10,2,1,A,,,,
X1M,P4,B1, 4-5,beta_12_1X,-,direct,J10,2,2,A,,,,
X1S,P3,B1, 3-6,beta_12_1X,-,direct,J10,2,3,A,,,,
X2S,P3,B1, 7-8,beta_12_1X,-,direct,J10,2,4,A,,,,
X2M,P4,B2, 1-2,beta_12_3X,S6-1_3,Type 6 - OUT b,J16,1,6,A,,,,
X2M,P3,B2, 4-5,beta_12_3X,S6-1_3,Type 6 - OUT d,J16,4,5,A,,,,
X2S,P2E,B2, 7-8,beta_12_3X,S6-1_3,Type 6 - OUT d,J16,4,7,A,,,,
X0S,P2E,B3, 1-2,beta_12_5X,-,direct,J16,7,5,A,,,,
X1S,P1W,B3, 4-5,beta_12_5X,-,direct,J16,7,6,A,,,,
X0S,P1W,B3, 7-8,beta_12_5X,-,direct,J16,7,8,A,,,,
S0M,P3,B7, 1-2,beta_12_2U,-,direct,J10,16,1,A,,,,
S1M,P3,B7, 4-5,beta_12_2U,-,direct,J10,16,2,A,,,,
S0S,P3,B7, 3-6,beta_12_2U,-,direct,J10,16,3,A,,,,
S1S,P2E,B7, 7-8,beta_12_2U,-,direct,J10,16,4,A,,,,
S2M,P4,B8, 1-2,beta_12_3U,S6-2_3,Type 6 - OUT b,J16,13,6,A,,,,
S2M,P3,B8, 4-5,beta_12_3U,S6-2_3,Type 6 - OUT d,J16,16,5,A,,,,
S2S,P2E,B8, 7-8,beta_12_3U,S6-2_3,Type 6 - OUT d,J16,16,7,A,,,,
S2S,P1W,B9, 1-2,beta_12_4U,-,direct,J10,19,1,A,,,,
S2M,P2E,B9, 4-5,beta_12_4U,-,direct,J10,19,2,A,,,,
S1M,P2E,B9, 3-6,beta_12_4U,-,direct,J10,19,3,A,,,,
S0M,P2E,B9, 7-8,beta_12_4U,-,direct,J10,19,4,A,,,,
S0S,P2E,B10, 1-2,beta_12_5U,-,direct,J16,19,5,A,,,,
S1S,P1W,B10, 4-5,beta_12_5U,-,direct,J16,19,6,A,,,,
S0S,P1W,B10, 7-8,beta_12_5U,-,direct,J16,19,8,A,,,,
S1M,P1W,B11, 1-2,beta_12_8U,-,direct,J10,24,1,A,,,,
S2M,P1W,B11, 4-5,beta_12_8U,-,direct,J10,24,2,A,,,,
S0M,P1W,B11, 7-8,beta_12_8U,-,direct,J10,24,4,A,,,,
X0M,P1W,C9, 1-2,alpha_12_7X,-,direct,J16,10,5,M,,,,
X0M,P1W,C9, 3-6,alpha_12_7X,-,direct,J16,10,7,M,,,,
